                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190430
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190430


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 27694046.76  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               27744050.71
平仓盈亏 Realized P/L：                    1550.00  质 押 金 Pledge Amount：              4864000.00
持仓盯市盈亏 MTM P/L：                    20975.00  客户权益 Client Equity：：           27744050.71
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      1266.05  保证金占用 Margin Occupied：          6162134.75
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     289710.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      27454340.71
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               21581915.96
权利金收入 Premium received：             37545.00  风 险 度 Risk Degree：                    22.21%
权利金支出 Premium paid：                  8800.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                      质押明细 Warrant Pledge  
----------------------------------------------------------------------
| 交易日期 |质押品种代码|  质押品种名称  | 质押数量 |    质押金额    |
|Trans.Date|    Code    |      Name      |   Qty    |     Amount     |
----------------------------------------------------------------------
|20190430  |CF          |一号棉花          |        80|      4864000.00|
----------------------------------------------------------------------

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190430|大商所  |焦煤              |     jm1909     |   卖|投机        |  1356.000|     2|   162720.00|  平              |      9.86|      180.00|                 0.00|30182644    |
|20190430|大商所  |焦煤              |     jm1909     |   卖|投机        |  1352.000|     1|    81120.00|  平              |      4.92|     -150.00|                 0.00|30231623    |
|20190430|大商所  |焦煤              |     jm1909     |   卖|投机        |  1352.000|     1|    81120.00|  平              |      4.92|     -150.00|                 0.00|30231624    |
|20190430|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8617.000|     1|    43085.00|开                |      2.61|        0.00|                 0.00|30244999    |
|20190430|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8617.000|     2|    86170.00|开                |      5.22|        0.00|                 0.00|30245063    |
|20190430|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8617.000|     7|   301595.00|开                |     18.28|        0.00|                 0.00|30245075    |
|20190430|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8625.000|     1|    43125.00|开                |      2.61|        0.00|                 0.00|30278488    |
|20190430|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8625.000|     4|   172500.00|开                |     10.45|        0.00|                 0.00|30278533    |
|20190430|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8625.000|     1|    43125.00|开                |      2.61|        0.00|                 0.00|30278575    |
|20190430|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8625.000|     2|    86250.00|开                |      5.23|        0.00|                 0.00|30283100    |
|20190430|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8625.000|     1|    43125.00|开                |      2.61|        0.00|                 0.00|30283168    |
|20190430|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8625.000|     1|    43125.00|开                |      2.61|        0.00|                 0.00|30283197    |
|20190430|大商所  |乙二醇            |     eg1906     |   卖|投机        |  4628.000|     6|   277680.00|开                |     24.17|        0.00|                 0.00|30281956    |
|20190430|大商所  |乙二醇            |     eg1906     |   卖|投机        |  4628.000|     4|   185120.00|开                |     16.11|        0.00|                 0.00|30281957    |
|20190430|大商所  |乙二醇            |     eg1906     |买   |投机        |  4619.000|     1|    46190.00|  平              |      0.03|     -120.00|                 0.00|30339289    |
|20190430|大商所  |乙二醇            |     eg1906     |买   |投机        |  4619.000|     2|    92380.00|  平              |      0.06|     -240.00|                 0.00|30339290    |
|20190430|大商所  |乙二醇            |     eg1906     |买   |投机        |  4619.000|     7|   323330.00|  平              |      0.19|     -840.00|                 0.00|30339295    |
|20190430|大商所  |乙二醇            |     eg1906     |买   |投机        |  4618.000|     1|    46180.00|  平              |      4.03|     -110.00|                 0.00|30339611    |
